"identifiant","activite","page_cible","emplacement","type","sujet_precis","fonction_pedagogique","public","caractere_obligatoire","source_souhaitee","exigences_scientifiques","exigences_techniques","metadonnees_necessaires","statut_scientifique","statut_juridique","statut_production","dossier_de_depot_attendu","nom_fichier_recommande","validation_humaine_requise","notes"
"A02-3D-001","activite-02","ressources/activite-02-associer-astragale-animal.html","Ressources 3D eventuelles","modele 3D","Modeles 3D des astragales compares","Manipuler les volumes et tester les hypotheses","musee; approfondissement","facultatif","scan valide; depot scientifique","Orientation; echelle; espece; cote; origine","GLB ou GLTF; alternative sans WebGL","Auteur; methode; institution; licence","a trouver","a verifier","manquant","_private-inputs/activite-02/modeles-3d/","astragale-a-source.glb","validation archeozoologique et juridique","A n'integrer que si les modeles sont documentes."
"A02-DOC-001","activite-02","ressources/activite-02-guide-enseignant.html","Criteres et corrige","document","Criteres distinctifs et limites d'identification","Encadrer le raisonnement et la correction","enseignant; musee","obligatoire","publication; expertise archeozoologique","Criteres fiables; criteres trompeurs explicites; prudence","Markdown ou table; version imprimable possible","Auteur; sources; date; version","a produire","a verifier","manquant","_private-inputs/activite-02/sources/","criteres-distinctifs-valides.*","validation archeozoologique","Validation humaine necessaire avant statut pret a utiliser."
"A03-IMG-001","activite-03","ressources/activite-03-corpus-images.html","Corpus antique","image source","Image antique liee a la mort ou aux blessures d'Achille","Distinguer image, texte et interpretation","eleve; enseignant","obligatoire","base museale; publication scientifique","Objet, datation, provenance et contexte documentes","Image lisible; credit visible; A4 possible","Institution; inventaire; lien stable; licence","a trouver","a verifier","manquant","_private-inputs/activite-03/images/","achille-image-antique-source.*","validation historique","Ne pas faire dire a l'image plus qu'elle ne montre."
"A03-IMG-002","activite-03","ressources/activite-03-cartes-chronologiques.html","Tradition tardive","image source","Representation de Thetis et Achille dans une tradition plus tardive","Montrer l'evolution des versions du mythe","eleve; enseignant","obligatoire","musee; edition savante; publication","Statut tardif explicite; datation; contexte","Image lisible; credit visible","Institution; source; date; licence","a trouver","a verifier","manquant","_private-inputs/activite-03/images/","thetis-achille-tradition-tardive-source.*","validation historique","Ne pas presenter comme recit grec ancien de base."
"A03-IMG-003","activite-03","ressources/activite-03-corpus-images.html","Comparaison moderne","illustration","Illustration moderne du talon d'Achille","Identifier une reception moderne, non une source antique","eleve; famille","recommande","source autorisee; production interne documentee","Statut moderne clair; pas de confusion avec source antique","Image lisible; mention du statut","Auteur; date; source; licence","a trouver","a verifier","manquant","_private-inputs/activite-03/images/","talon-achille-illustration-moderne-source.*","validation historique et juridique","Peut etre remplacee par une illustration contemporaine signalee."
"A03-IMG-004","activite-03","ressources/activite-03-schema-talus.html","Appui anatomique","photo","Talus ou astragale documente","Relier le vocabulaire au petit os reel","eleve; enseignant","obligatoire","universite; musee; collection validee","Anatomie correcte; orientation et echelle si possible","Image nette; fond neutre; A4 lisible","Auteur; institution; source; licence","a trouver","a verifier","manquant","_private-inputs/activite-03/images/","talus-humain-photo-source.*","validation anatomique","Distinguer talus humain et astragale animal."
"A03-SCH-001","activite-03","ressources/activite-03-schema-talus.html","Schema anatomique","schema","Schema du talus humain","Expliquer le glissement talus/astragale/talon","eleve; enseignant","obligatoire","institution anatomique; production validee","Schema anatomiquement correct; vocabulaire prudent","Vectoriel ou image haute resolution; A4 lisible","Auteur; source; licence; modifications","a trouver","a verifier","manquant","_private-inputs/activite-03/images/","talus-humain-schema-source.*","validation anatomique","Ne pas generer par IA comme schema scientifique."
"A03-DOC-001","activite-03","ressources/activite-03-guide-enseignant.html","Dossier adulte","document","Dossier bibliographique sur Achille, talus, talon et tradition latine","Soutenir les formulations prudentes du guide","enseignant; approfondissement","obligatoire","articles; editions savantes; ouvrages universitaires","Sources savantes; distinction tradition ancienne/tardive","Markdown; bibliographie propre","Auteur; references; date; version","a produire","a verifier","manquant","_private-inputs/activite-03/sources/","dossier-achille-talus-talon.*","validation historique et philologique","Eviter toute certitude excessive."
"A03-ILL-001","activite-03","ressources/activite-03-album-classe.html","Album ou couverture","illustration contemporaine","Illustrations contemporaines eventuelles","Soutenir la narration sans fabriquer de source","eleve; famille","facultatif","production interne; imagegen si demande","Statut contemporain ou genere explicite","Format web et impression; credit visible","Prompt; date; outil; auteur; modifications","a produire seulement si demande","a verifier","manquant","_private-inputs/activite-03/illustrations/","couverture-album-contemporaine.*","validation editoriale et juridique","Jamais comme preuve historique."
"A03-TXT-001","activite-03","ressources/activite-03-cartes-chronologiques.html","Cartes textes","document","Reformulations tres courtes de textes ou traditions","Rendre les versions comparables pour les eleves","eleve; enseignant","recommande","editions savantes; synthese interne","Fidelite; niveau eleve; reference conservée","Markdown ou table; facile a imprimer","Reference; auteur; version; statut","a produire","a verifier","manquant","_private-inputs/activite-03/sources/","reformulations-courtes-validees.*","validation historique et pedagogique","Citations longues a eviter."
"A04-IMG-001","activite-04","ressources/activite-04-cartes-objets.html","Carte objet A","photo","Astragale animal non transforme","Comparer reste animal et objet interprete","eleve; musee","obligatoire","collection; musee; universite","Espece; contexte; echelle; absence de transformation documentee","Image nette; fond neutre; A4 lisible","Auteur; institution; inventaire; licence","a trouver","a verifier","manquant","_private-inputs/activite-04/images/","astragale-non-transforme-source.*","validation archeozoologique","Comparateur anatomique, pas preuve culturelle."
"A04-IMG-002","activite-04","ressources/activite-04-cartes-objets.html","Carte objet B","photo","Astragale travaille ou perfore","Questionner modification et interpretation","eleve; musee","obligatoire","musee; publication archeologique","Modification documentee; interpretation prudente","Vues utiles; echelle; A4 lisible","Institution; inventaire; datation; licence","a trouver","a verifier","manquant","_private-inputs/activite-04/images/","astragale-perfore-source.*","validation archeologique","Une perforation ne suffit pas a conclure."
"A04-IMG-003","activite-04","ressources/activite-04-cartes-objets.html","Carte objet C","photo","Ensemble d'astragales en contexte documente","Introduire contexte, depot et comparaison","eleve; enseignant; musee","obligatoire","publication archeologique; base museale","Contexte, datation et provenance documentes","Image de groupe lisible; credit visible","Auteur; institution; inventaire; source; licence","a trouver","a verifier","manquant","_private-inputs/activite-04/images/","ensemble-astragales-contexte-source.*","validation archeologique","Le contexte doit soutenir l'interpretation."
"A04-IMG-004","activite-04","ressources/activite-04-cartes-objets.html","Carte objet D","photo","Astragale inscrit ou marque","Distinguer observation, inscription et interpretation","eleve; enseignant","obligatoire","musee; base scientifique; publication","Lecture, inventaire, datation et provenance verifies","Detail lisible; image generale si possible","Institution; inventaire; lecture; licence","a trouver","a verifier","manquant","_private-inputs/activite-04/images/","astragale-inscrit-source.*","validation archeologique et epigraphique","Ne pas affirmer une lecture sans source primaire."
"A04-IMG-005","activite-04","ressources/activite-04-cartes-objets.html","Carte objet E","photo ou illustration","Objet contemporain ou reproduction de comparaison","Comparer source, reproduction et creation","eleve; famille","recommande","production interne documentee","Statut contemporain explicite","Image nette; mention du statut; A4","Auteur; date; licence; modifications","a documenter","a verifier","manquant","_private-inputs/activite-04/images/","objet-contemporain-comparaison-source.*","validation editoriale et juridique","Ne pas presenter comme preuve ancienne."
"A04-3D-001","activite-04","ressources/activite-04-guide-musee.html","Support numerique optionnel","modele 3D","Modele 3D d'un objet reel ou d'une reproduction","Aider la mediation lorsque l'objet n'est pas manipulable","musee; approfondissement","facultatif","scan valide; production interne documentee","Original ou reconstruction explicite; echelle; orientation","GLB ou GLTF; alternative textuelle","Auteur; methode; institution; licence","a trouver","a verifier","manquant","_private-inputs/activite-04/modeles-3d/","astragale-objet-a-source.glb","validation archeologique et juridique","Aucun modele 3D valide actuellement."
"A04-DOC-001","activite-04","ressources/activite-04-guide-enseignant.html","Notices adultes","document","Notices completes des objets A a E","Assurer tracabilite et credits","enseignant; musee; approfondissement","obligatoire","musee; publication scientifique","Institution, inventaire, datation, provenance, bibliographie","Markdown ou table; versionnement clair","Auteur; institution; inventaire; licence; date","a produire","a verifier","manquant","_private-inputs/activite-04/sources/","notices-objets-a-e.*","validation archeologique et juridique","Prealable a toute integration definitive."
"A04-TXT-001","activite-04","ressources/activite-04-grille-interpretation.html","Fiches de prudence","document","Degres de certitude par objet et usage possible","Apprendre a conclure avec prudence","eleve; enseignant","obligatoire","production interne relue","Limites explicites; pas de fonction deduite de la forme seule","Markdown; tableau imprimable","Sources; auteur; version; date","a produire","a verifier","manquant","_private-inputs/activite-04/sources/","degres-certitude-interpretation.*","validation archeologique et pedagogique","Doit rester comprehensible pour 8-12 ans."
"TR-DOC-001","transversal","index.html","Section Droits et sources","document","Charte de credits et droits pour images et modeles 3D","Uniformiser les attributions et statuts","enseignant; musee; approfondissement","obligatoire","production interne; expertise juridique si besoin","Traçabilite complete; distinction droits/statut scientifique","Markdown ou table; reutilisable","Auteur; source; licence; modifications; date","a produire","a verifier","manquant","_private-inputs/scientifique/","charte-credits-droits.*","validation juridique","Avant integration massive de medias."
"TR-IMG-001","transversal","index.html","Identite visuelle","document","Dossier de provenance et droits du logo officiel","Documenter l'usage de l'identite visuelle","equipe projet","recommande","proprietaire du logo; production interne","Accord d'usage; auteur; date; perimetre autorise","Fichiers maitres et derives documentes","Auteur; date; autorisation; licence ou accord","a documenter","a verifier","manquant","_private-inputs/identite-visuelle/","autorisation-utilisation-logo.*","validation juridique et projet","Le logo public existe deja; documenter les droits."
