path,title,h1_count,h1_text,h2_count,links_count,images_count,print_button,placeholder_count,source_box,document_actions,public_status,public_hash_matches_local,word_count,notes
ressources/activite-02-corrige-evaluation.html,Corrigé et évaluation | Activité 2,1,"Corrigé et évaluation  Ce document ne fournit pas de paires définitives tant que le jeu d'animaux et les images ne
          sont pas validés. Il donne la structure de correction attendue.    Retour à l'activité  Imprimer ou enregistrer en PDF",4,3,0,yes,0,no,yes,200,True,486,
ressources/activite-02-exemple-production.html,Exemple de production | Activité 2,1,"Exemple de production attendue  Cette production fictive montre le type de raisonnement attendu. Elle devra être adaptée aux
          véritables images et associations validées.    Retour à l'activité  Imprimer ou enregistrer en PDF",4,3,0,yes,0,no,yes,200,True,272,
ressources/activite-02-fiche-eleve-classe.html,Comparer des astragales — Retrouve leur animal | Activité 2,1,"Comparer des astragales — Retrouve leur animal  Tu vas observer des astragales codés, construire des critères de comparaison, proposer des
          associations et expliquer ton raisonnement.   Public 8-12 ans  Durée 45 à 60 min  Organisation Binômes ou groupes  Production Phrase argumentée     Retour à l'activité  Imprimer ou enregistrer en PDF",7,4,0,yes,0,no,yes,200,True,247,
ressources/activite-02-fiche-eleve-musee.html,Enquête au musée — Quel animal a porté cet os ? | Activité 2,1,"Enquête au musée — Quel animal a porté cet os ?  Observe des os codés, compare leurs caractères, puis propose des associations avec des animaux
          sans chercher une certitude trop rapide.   Public 8-12 ans  Durée 30 à 45 min  Format Groupes de 4 à 6  But Comparer · Associer · Argumenter     Retour à l'activité  Imprimer ou enregistrer en PDF",7,3,0,yes,0,no,yes,200,True,304,
ressources/activite-02-grille-association.html,Grille d'association | Activité 2,1,"Associer, justifier, vérifier  Cette grille peut recevoir des cartes posées physiquement ou des réponses écrites. Elle impose
          deux indices et une limite à vérifier.    Retour à l'activité  Imprimer ou enregistrer en PDF",4,3,0,yes,0,no,yes,200,True,145,
ressources/activite-02-guide-enseignant.html,Guide enseignant — À quel animal appartient cet astragale ? | Activité 2,1,"À quel animal appartient cet astragale ?  Un guide pour organiser une comparaison raisonnée d'astragales : observer, classer, associer,
          argumenter, vérifier et nuancer.   Âge 8-12 ans  Durée 45 à 60 min  Organisation Binômes ou groupes de 3 à 4  Discipline Sciences de la nature     Retour à l'activité  Fiche élève classe  Imprimer ou enregistrer en PDF",11,8,0,yes,0,yes,yes,200,True,901,
ressources/activite-02-guide-musee.html,Guide du musée — À quel animal appartient cet astragale ? | Activité 2,1,"Comparer des astragales au musée  Un guide pour animer une station de comparaison sans manipuler les collections patrimoniales
          et en introduisant le travail de l'archéozoologue.   Public 8-12 ans  Durée 30 à 45 min  Groupes 4 à 6  Format Station ou rotation     Retour à l'activité  Fiche élève musée  Imprimer ou enregistrer en PDF",9,4,0,yes,0,no,yes,200,True,558,
ressources/activite-03-achille-histoire-transformee.html,Activité 3 — Achille : comment une histoire se transforme-t-elle ? | Histoires d'os,1,"Achille : comment une histoire se transforme-t-elle ?  Les élèves partent d'une expression familière, ""le talon d'Achille"", puis enquêtent sur les
          récits, les images, les traductions et l'anatomie. L'activité montre qu'une histoire ancienne
          peut être transmise, transformée et réinterprétée sans devenir simplement vraie ou fausse.   Public 8-12 ans  Musée 25 à 50 min  Classe 50 min à 2 séances  Production Page ou double page d'album     Retour au site  Imprimer ou enregistrer en PDF",9,23,0,yes,0,yes,yes,200,True,630,
ressources/activite-03-album-classe.html,Album collectif — Achille et l'astragale | Activité 3,1,"Construire un petit album documentaire  Chaque groupe produit une page claire, illustrée et sourcée. L'album final peut être imprimé,
          affiché ou présenté au musée.    Retour à l'activité  Voir un exemple  Imprimer ou enregistrer en PDF",4,4,0,yes,0,no,yes,200,True,269,
ressources/activite-03-cartes-chronologiques.html,Cartes chronologiques — Achille | Activité 3,1,"Une histoire qui change de forme  Les cartes aident à comprendre que le ""talon d'Achille"" moderne est le résultat d'une longue
          réception : textes, images, traductions, usages scolaires et expressions courantes.    Retour à l'activité  Imprimer ou enregistrer en PDF",8,3,0,yes,0,no,yes,200,True,294,
ressources/activite-03-corpus-images.html,Corpus d'images — Achille et l'astragale | Activité 3,1,"Images et documents à interroger  Ce corpus sert à apprendre une règle simple : une image montre quelque chose, mais elle ne
          raconte pas seule toute l'histoire. Les métadonnées adultes doivent être conservées.    Retour à l'activité  Suivi des images  Imprimer ou enregistrer en PDF",7,7,1,yes,3,yes,yes,200,True,425,
ressources/activite-03-corrige-evaluation.html,Corrigé et évaluation — Achille et l'astragale | Activité 3,1,"Réponses attendues et évaluation  Le corrigé valorise la prudence : une bonne réponse ne simplifie pas le mythe, ne confond pas
          les mots et distingue le statut des documents.    Retour à l'activité  Questionnaire  Imprimer ou enregistrer en PDF",4,4,0,yes,0,no,yes,200,True,415,
ressources/activite-03-exemple-production.html,Exemple de production — Activité 3,1,"Une page d'album possible  Un modèle fictif pour montrer le niveau attendu : texte court, belle lisibilité, source et
          prudence explicite.    Retour à l'activité  Imprimer ou enregistrer en PDF     Exemple élève",3,3,1,yes,0,no,yes,200,True,226,
ressources/activite-03-fiche-eleve-classe.html,Achille : comment une histoire se transforme-t-elle ? | Fiche élève,1,"Achille : comment une histoire se transforme-t-elle ?  Tu vas étudier une expression connue, des images, des cartes chronologiques et un schéma du
          talus pour construire une page d'album documentaire.   Public 8-12 ans  Durée 50 min à 2 séances  Organisation Groupes  Production Page d'album     Retour à l'activité  Modèle d'album  Imprimer ou enregistrer en PDF",6,6,0,yes,0,no,yes,200,True,298,
ressources/activite-03-fiche-eleve-musee.html,Enquête au musée — Achille et le petit os | Activité 3,1,"Achille et le petit os : enquête en deux stations  Tu vas partir d'une histoire célèbre, observer des documents, puis comprendre pourquoi le
          ""talon d'Achille"" n'est pas une preuve toute simple mais une histoire transformée.   Public 8-12 ans  Durée 25 à 50 min  Lieu Vitrine ou atelier  Trace Carte réponse     Retour à l'activité  Schéma du talus  Imprimer ou enregistrer en PDF",4,4,0,yes,0,no,yes,200,True,272,
ressources/activite-03-guide-enseignant.html,Guide enseignant — Achille et l'histoire transformée | Activité 3,1,"Achille : comment une histoire se transforme-t-elle ?  Un guide pour faire travailler les élèves sur la réception d'un mythe, la lecture d'images,
          la prudence des mots et l'anatomie du talus/astragale.   Âge 8-12 ans  Durée 50 min à 2 séances  Organisation Groupes de 3 à 4  Disciplines Histoire · Sciences · Français     Retour à l'activité  Fiche élève  Imprimer ou enregistrer en PDF",8,7,0,yes,0,yes,yes,200,True,762,
ressources/activite-03-guide-musee.html,"Guide du musée — Achille, images et astragale | Activité 3",1,"Faire enquêter sans tout raconter  Un format court pour vitrine, atelier ou visite accompagnée : les publics observent un corps,
          une image et une histoire qui a changé.   Public Familles · scolaires  Durée 25 à 50 min  Stations 2 ou 3  Format Oral + carte réponse     Retour à l'activité  Fiche visiteur  Imprimer ou enregistrer en PDF",4,4,0,yes,0,no,yes,200,True,376,
ressources/activite-03-prolongement-illustration-ia.html,Prolongement IA — Illustrer sans confondre | Activité 3,1,"Illustrer avec l'IA sans fabriquer une fausse source  Une activité courte pour produire une illustration contemporaine tout en gardant une règle
          essentielle : une image générée aujourd'hui n'est pas un document antique.    Retour à l'activité  Imprimer ou enregistrer en PDF",5,3,0,yes,0,no,yes,200,True,277,
ressources/activite-03-questionnaire.html,Questionnaire — Achille et le talus | Activité 3,1,"Comprendre sans simplifier  Questions progressives pour vérifier que les élèves distinguent mythe, image, vocabulaire,
          anatomie et source.    Retour à l'activité  Corrigé  Imprimer ou enregistrer en PDF",3,4,0,yes,0,no,yes,200,True,210,
ressources/activite-03-schema-talus.html,Schéma du talus/astragale | Activité 3,1,"Talus, astragale, cheville et talon  Une fiche pour déplacer l'attention : l'expression moderne parle du talon, mais l'enquête
          s'intéresse aussi au talus, appelé astragale dans de nombreux contextes.    Retour à l'activité  Imprimer ou enregistrer en PDF",4,5,0,yes,0,yes,yes,200,True,237,
ressources/activite-04-biographie-objet.html,Biographie d'objet | Activité 4,1,"Biographie d'objet  Un même astragale peut avoir plusieurs vies. Toutes les étapes ne sont pas obligatoires : indique ce qui est attesté, probable, possible ou inconnu.    Retour à l'activité  Imprimer ou enregistrer en PDF    1",13,3,0,yes,0,no,yes,200,True,196,
ressources/activite-04-cartes-contextes.html,Cartes contextes | Activité 4,1,Cartes contextes  Distribuer ces cartes une par une. Le code ne révèle pas l'usage ; il permet de voir comment une information nouvelle modifie ou confirme une hypothèse.    Retour à l'activité  Imprimer ou enregistrer en PDF    A1 · Support,15,3,0,yes,0,yes,yes,200,True,369,
ressources/activite-04-cartes-objets.html,Cartes objets | Activité 4,1,"Cartes objets  Les rectos élève ne donnent aucune fonction. Les versos adultes servent à préparer la séance et
          à éviter les interprétations automatiques. Remplacer les emplacements d'image seulement après
          validation des droits et des métadonnées.    Retour à l'activité  Suivi des assets  Imprimer ou enregistrer en PDF     Objet A",7,5,0,yes,5,yes,yes,200,True,330,
ressources/activite-04-cartes-usages.html,Cartes usages | Activité 4,1,"Cartes usages  Ces cartes décrivent des hypothèses. Une carte n'est jamais une preuve : il faut chercher les indices, le contexte et les comparaisons disponibles.    Retour à l'activité  Imprimer ou enregistrer en PDF",10,3,0,yes,0,no,yes,200,True,408,
ressources/activite-04-corrige-evaluation.html,Corrigé et évaluation | Activité 4,1,"Évaluer une interprétation prudente  Le corrigé ne donne pas une fonction unique pour chaque objet : il vérifie la qualité du raisonnement, la prise en compte du contexte et la formulation de l'incertitude.    Retour à l'activité  Imprimer ou enregistrer en PDF",3,3,0,yes,0,no,yes,200,True,364,
ressources/activite-04-exemple-production.html,Exemple de production | Activité 4,1,Un cartel prudent  Modèle fictif pour montrer le niveau attendu. Il ne remplace pas une notice de musée et doit être adapté aux objets réellement utilisés.    Retour à l'activité  Imprimer ou enregistrer en PDF,4,3,0,yes,0,no,yes,200,True,245,
ressources/activite-04-fiche-eleve-classe.html,Fiche élève — classe | Activité 4,1,"Mener une enquête sur un astragale  Ton groupe reçoit un objet codé. Au début, tu n'as pas toute l'histoire. Tu vas observer,
          proposer, recevoir des informations de contexte, puis améliorer ton interprétation.   Séance 1 50-60 min  Séance 2 45-60 min  Organisation Groupes de 3 ou 4  Final Cartel ou biographie     Retour à l'activité  Cartes objets  Imprimer ou enregistrer en PDF",3,4,0,yes,0,no,yes,200,True,321,
ressources/activite-04-fiche-eleve-musee.html,Fiche élève — musée | Activité 4,1,"Enquête devant un objet en os  Choisis un astragale ou un objet en os. Observe-le comme un archéologue et propose une
          interprétation en distinguant ce que tu vois, ce que tu supposes et ce que tu dois vérifier.   Durée courte 25-30 min  Durée complète 40-50 min  Support Vitrine, réplique, photo  Production Phrase de cartel     Retour à l'activité  Fiche d'observation  Imprimer ou enregistrer en PDF",3,4,0,yes,0,yes,yes,200,True,285,
ressources/activite-04-fiche-observation.html,Fiche d'observation | Activité 4,1,"Fiche d'observation  Cette fiche sert à séparer ce que l'on observe, ce que l'on interprète et ce qui manque pour conclure.    Retour à l'activité  Imprimer ou enregistrer en PDF",4,3,0,yes,0,no,yes,200,True,126,
ressources/activite-04-grille-interpretation.html,Grille d'interprétation | Activité 4,1,Grille d'interprétation  Compare plusieurs hypothèses avant de choisir ta conclusion.    Retour à l'activité  Imprimer ou enregistrer en PDF,3,3,0,yes,0,no,yes,200,True,108,
ressources/activite-04-guide-enseignant.html,Guide enseignant | Activité 4,1,"Faire raisonner sur un objet ancien  Un guide pour conduire l'enquête en classe, organiser les cartes, gérer les incertitudes et
          faire produire un cartel ou une biographie d'objet.   Âge 8-12 ans  Durée 50 min ou 2 séances  Organisation Groupes de 3 à 4  Disciplines SHS · Sciences · Français · Arts     Retour à l'activité  Fiche élève  Imprimer ou enregistrer en PDF",8,8,0,yes,0,yes,yes,200,True,840,
ressources/activite-04-guide-musee.html,Guide du musée | Activité 4,1,"Installer une enquête en musée  Ce guide aide à faire travailler les élèves devant des objets authentiques, des répliques, des images ou des supports numériques sans dépasser ce que les sources permettent d'affirmer.    Retour à l'activité  Fiche visiteur  Imprimer ou enregistrer en PDF",5,4,0,yes,0,no,yes,200,True,423,
ressources/activite-04-prolongement-creation.html,Prolongement créatif | Activité 4,1,Concevoir un objet contemporain inspiré de l'astragale  Cette activité créative aide à comprendre pourquoi les objets anciens sont difficiles à interpréter. Elle ne reconstitue pas une pratique antique.    Retour à l'activité  Imprimer ou enregistrer en PDF,4,3,0,yes,0,yes,yes,200,True,207,
ressources/activite-04-un-os-plusieurs-vies.html,"Activité 4 — Un os, plusieurs vies | Histoires d'os",1,"Un os, plusieurs vies  Un astragale découvert par les archéologues ne porte pas une étiquette racontant son histoire.
          Pour comprendre ce qu'il est devenu après avoir appartenu à un animal, les chercheurs observent
          sa forme, ses traces de transformation, son lieu de découverte et les objets qui l'accompagnaient.
          Cette activité propose de mener la même enquête à partir de reproductions, de photographies et de
          dossiers documentaires. Les élèves apprennent à ralentir : décrire avant d'interpréter, comparer
          plusieurs hypothèses, accepter l'incertitude et rédiger un cartel qui distingue ce que l'on voit,
          ce que l'on suppose et ce qu'il faudrait encore vérifier.   Public 8-12 ans  Musée 25 à 50 min  Classe 50 min ou 2 séances  Production Cartel ou biographie d'objet     Retour au site  Voir les ressources  Imprimer ou enregistrer en PDF",9,24,0,yes,0,yes,yes,200,True,788,
ressources/document-mission-astragale.html,Guide enseignant — Trouver l'astragale | Activité 1,1,"Trouver l'astragale en classe  Un guide pour conduire une enquête anatomique : comment retrouver un petit os dans un
          squelette sans commencer par apprendre son emplacement par coeur ?   Âge 8-12 ans  Durée 45 à 60 min  Organisation Individuel · binômes · groupes de trois  Discipline Sciences de la nature     Retour à l'activité  Fiche élève classe  Imprimer ou enregistrer en PDF",13,9,0,yes,0,yes,yes,200,True,1326,
ressources/document-musee-ou-est-l-os.html,Guide musée — Trouver l'astragale | Activité 1,1,"Trouver l'astragale au musée  Une mission d'observation pour aider les visiteurs à localiser une région anatomique, à
          transférer un repère vers un autre mammifère et à verbaliser les indices sans confondre
          localisation, identification et interprétation.   Public 8 ans et +  Courte 15 à 20 min  Complète 30 à 45 min  Groupes 4 à 6 participants     Retour à l'activité  Fiche élève musée  Imprimer ou enregistrer en PDF",11,8,0,yes,0,yes,yes,200,True,923,
ressources/document-vrai-prudent-verifier.html,"Vrai, prudent, à vérifier | Document pédagogique",1,"Vrai, prudent, à vérifier  Une activité pour apprendre à nuancer les récits : ce qui est attesté, ce qui est possible,
          et ce qui devient trop simple quand on oublie les sources.   Public 10-12 ans  Durée 35 à 50 min  Format Classe entière puis groupes  Finalité Sourcer · Contextualiser · Reformuler     Dossier activité 3  Imprimer ou enregistrer en PDF",8,7,0,yes,0,yes,yes,200,True,575,
ressources/recit-achille-astragale.html,Le petit os d'Achille | Histoires d'os,1,"Le petit os d'Achille  Une courte histoire pour entrer dans le projet par un mythe connu, puis déplacer le regard
          vers le corps, les articulations et l'astragale.    Dossier activité 3  Imprimer ou enregistrer en PDF        1",6,4,4,yes,0,no,yes,200,True,487,
